timestamp,open,high,low,close,volume
2026-02-25 00:00:00,1.3483,1.3489,1.3467,1.3477,93340.2
2026-02-25 00:03:00,1.3477,1.3484,1.3462,1.3482,190870.8
2026-02-25 00:06:00,1.3482,1.3484,1.3474,1.3482,75354.3
2026-02-25 00:09:00,1.3483,1.3483,1.3461,1.3468,118068.4
2026-02-25 00:12:00,1.3467,1.348,1.3459,1.3463,88398.7
2026-02-25 00:15:00,1.3463,1.348,1.3463,1.3474,77503.2
2026-02-25 00:18:00,1.3474,1.3488,1.3455,1.3456,139397.4
2026-02-25 00:21:00,1.3456,1.3456,1.3429,1.3434,181850.8
2026-02-25 00:24:00,1.3434,1.345,1.3415,1.3416,132029.6
2026-02-25 00:27:00,1.3416,1.3423,1.3404,1.3421,246633.0
2026-02-25 00:30:00,1.3422,1.3448,1.3419,1.3436,271686.3
2026-02-25 00:33:00,1.3436,1.3449,1.3433,1.3446,82533.9
2026-02-25 00:36:00,1.3446,1.3462,1.3444,1.346,136122.6
2026-02-25 00:39:00,1.3459,1.3464,1.3442,1.3447,144793.4
2026-02-25 00:42:00,1.3448,1.3491,1.3448,1.3485,259438.1
2026-02-25 00:45:00,1.3484,1.3491,1.3467,1.3491,95448.8
2026-02-25 00:48:00,1.3491,1.352,1.3479,1.351,219281.4
2026-02-25 00:51:00,1.351,1.3514,1.3496,1.3502,196695.0
2026-02-25 00:54:00,1.3503,1.3512,1.349,1.3493,93177.6
2026-02-25 00:57:00,1.3493,1.3497,1.3471,1.3471,96814.9
2026-02-25 01:00:00,1.3471,1.3506,1.3461,1.3506,298237.7
2026-02-25 01:03:00,1.3506,1.3518,1.35,1.351,158612.5
2026-02-25 01:06:00,1.351,1.3562,1.3509,1.3544,802529.4
2026-02-25 01:09:00,1.3543,1.3716,1.3525,1.3693,3003604.1
2026-02-25 01:12:00,1.3693,1.3845,1.3679,1.3837,4802810.7
2026-02-25 01:15:00,1.3837,1.39,1.3755,1.3825,2441321.7
2026-02-25 01:18:00,1.3825,1.3873,1.3804,1.3851,942598.7
2026-02-25 01:21:00,1.385,1.3997,1.3838,1.3847,4626302.5
2026-02-25 01:24:00,1.3848,1.3939,1.3833,1.3923,2013274.3
2026-02-25 01:27:00,1.3922,1.3929,1.3851,1.386,1093368.6
2026-02-25 01:30:00,1.3861,1.39,1.3843,1.3855,714235.6
2026-02-25 01:33:00,1.3855,1.3899,1.3832,1.3899,638185.4
2026-02-25 01:36:00,1.3899,1.3918,1.3859,1.3882,2150451.6
2026-02-25 01:39:00,1.3881,1.39,1.3844,1.3862,788970.3
2026-02-25 01:42:00,1.3861,1.3875,1.3798,1.3811,699922.1
2026-02-25 01:45:00,1.3811,1.3857,1.3802,1.3844,455347.3
2026-02-25 01:48:00,1.3844,1.3865,1.382,1.3826,534799.9
2026-02-25 01:51:00,1.3826,1.3855,1.3813,1.3827,404892.1
2026-02-25 01:54:00,1.3828,1.3864,1.3823,1.386,379906.1
2026-02-25 01:57:00,1.3861,1.3885,1.3857,1.3866,1286937.5
2026-02-25 02:00:00,1.3866,1.3922,1.3854,1.3865,848638.7
2026-02-25 02:03:00,1.3864,1.3881,1.3845,1.3855,403087.6
2026-02-25 02:06:00,1.3854,1.395,1.3842,1.3904,1602600.6
2026-02-25 02:09:00,1.3904,1.3924,1.3871,1.3882,403913.2
2026-02-25 02:12:00,1.3882,1.3915,1.388,1.3904,413290.9
2026-02-25 02:15:00,1.3904,1.3927,1.3884,1.3917,1302181.2
2026-02-25 02:18:00,1.3918,1.3919,1.3881,1.39,346860.9
2026-02-25 02:21:00,1.3901,1.3917,1.3888,1.389,292040.8
2026-02-25 02:24:00,1.3891,1.3899,1.387,1.3893,241525.9
2026-02-25 02:27:00,1.3894,1.3914,1.3886,1.3907,252036.4
2026-02-25 02:30:00,1.3907,1.3924,1.3896,1.3901,451109.0
2026-02-25 02:33:00,1.39,1.3903,1.3848,1.3868,342589.7
2026-02-25 02:36:00,1.3868,1.3871,1.385,1.3855,199108.5
2026-02-25 02:39:00,1.3854,1.3855,1.3825,1.3836,292441.8
2026-02-25 02:42:00,1.3836,1.3853,1.3827,1.3839,249016.8
2026-02-25 02:45:00,1.3839,1.3856,1.3832,1.3854,256141.7
2026-02-25 02:48:00,1.3854,1.3854,1.3839,1.3849,199403.7
2026-02-25 02:51:00,1.3849,1.3856,1.3825,1.3836,261774.3
