timestamp,open,high,low,close,volume
2026-02-25 00:00:00,1.3483,1.352,1.3404,1.3471,2939438.4
2026-02-25 01:00:00,1.3471,1.3997,1.3461,1.3866,28236308.1
2026-02-25 02:00:00,1.3866,1.395,1.3788,1.3795,9393490.9
2026-02-25 03:00:00,1.3795,1.3814,1.3667,1.3701,5916981.6
2026-02-25 04:00:00,1.3702,1.3752,1.3596,1.3688,6636418.5
2026-02-25 05:00:00,1.3688,1.3706,1.353,1.3587,4647170.8
2026-02-25 06:00:00,1.3587,1.3669,1.3571,1.3603,3186564.9
2026-02-25 07:00:00,1.3603,1.3681,1.3587,1.3658,3150700.4
2026-02-25 08:00:00,1.3658,1.3737,1.363,1.3726,5070985.3
2026-02-25 09:00:00,1.3725,1.3823,1.372,1.38,5292648.3
2026-02-25 10:00:00,1.38,1.3841,1.374,1.3755,4105131.6
2026-02-25 11:00:00,1.3754,1.3853,1.3726,1.3839,2913114.0
2026-02-25 12:00:00,1.3838,1.4033,1.3812,1.4,7648233.5
2026-02-25 13:00:00,1.4001,1.4244,1.3986,1.4131,13066258.3
2026-02-25 14:00:00,1.4132,1.4368,1.4132,1.4359,13026004.3
2026-02-25 15:00:00,1.4359,1.446,1.4253,1.441,15349758.1
2026-02-25 16:00:00,1.4411,1.45,1.4378,1.4488,11761319.9
2026-02-25 17:00:00,1.4488,1.4743,1.4461,1.4664,18297075.2
2026-02-25 18:00:00,1.4663,1.4769,1.4561,1.472,10347996.6
2026-02-25 19:00:00,1.472,1.473,1.4539,1.4665,11840761.3
2026-02-25 20:00:00,1.4665,1.4712,1.4568,1.4643,11360599.0
2026-02-25 21:00:00,1.4643,1.4935,1.4627,1.476,18341430.6
2026-02-25 22:00:00,1.4761,1.488,1.4439,1.4558,16962841.2
2026-02-25 23:00:00,1.4558,1.4574,1.4192,1.4339,15597274.4
2026-02-26 00:00:00,1.4338,1.4475,1.4268,1.4393,9244544.3
2026-02-26 01:00:00,1.4393,1.4437,1.4233,1.4241,5697946.5
2026-02-26 02:00:00,1.4241,1.4396,1.4183,1.4379,5408713.2
2026-02-26 03:00:00,1.438,1.4457,1.4341,1.442,4798651.9
2026-02-26 04:00:00,1.442,1.4691,1.44,1.459,5332302.0
2026-02-26 05:00:00,1.459,1.4597,1.4403,1.4481,4859011.9
2026-02-26 06:00:00,1.448,1.4553,1.4435,1.4445,3459299.5
2026-02-26 07:00:00,1.4444,1.4452,1.4305,1.4341,4746881.4
2026-02-26 08:00:00,1.4341,1.4452,1.434,1.4362,4722552.9
2026-02-26 09:00:00,1.4362,1.4534,1.4348,1.4517,5270762.5
2026-02-26 10:00:00,1.4517,1.4567,1.4412,1.4426,7127533.0
2026-02-26 11:00:00,1.4426,1.4455,1.4348,1.4368,4764158.0
2026-02-26 12:00:00,1.4369,1.4439,1.4354,1.4422,5218024.7
2026-02-26 13:00:00,1.4421,1.446,1.4362,1.4399,3595544.5
2026-02-26 14:00:00,1.44,1.4449,1.4221,1.4355,11532788.0
2026-02-26 15:00:00,1.4354,1.436,1.4078,1.4212,14838715.9
2026-02-26 16:00:00,1.4212,1.4235,1.3854,1.3888,17535262.8
2026-02-26 17:00:00,1.3887,1.4007,1.3837,1.3877,8499854.0
2026-02-26 18:00:00,1.3877,1.3996,1.3827,1.3936,10967138.8
2026-02-26 19:00:00,1.3936,1.4112,1.393,1.4072,10454584.1
2026-02-26 20:00:00,1.4072,1.4132,1.3932,1.394,4602716.9
2026-02-26 21:00:00,1.3939,1.3973,1.3884,1.3948,3125616.9
2026-02-26 22:00:00,1.3949,1.4054,1.3938,1.4024,2288516.6
2026-02-26 23:00:00,1.4025,1.4038,1.3969,1.4027,2738021.5
2026-02-27 00:00:00,1.4027,1.4046,1.3932,1.4015,3639196.0
2026-02-27 01:00:00,1.4016,1.4064,1.3962,1.4056,4358853.0
2026-02-27 02:00:00,1.4057,1.4132,1.405,1.4068,4677225.1
2026-02-27 03:00:00,1.4069,1.4093,1.4002,1.4079,4117580.2
2026-02-27 04:00:00,1.4079,1.4216,1.4053,1.4077,8585247.5
2026-02-27 05:00:00,1.4077,1.4147,1.4068,1.4104,3048816.3
2026-02-27 06:00:00,1.4104,1.4145,1.4038,1.4125,2761063.2
2026-02-27 07:00:00,1.4125,1.4174,1.4059,1.417,2331412.9
2026-02-27 08:00:00,1.417,1.4237,1.4147,1.4216,3711832.9
2026-02-27 09:00:00,1.4217,1.4262,1.4048,1.4067,3563543.9
2026-02-27 10:00:00,1.4066,1.4074,1.3869,1.3889,7452496.2
2026-02-27 11:00:00,1.389,1.3968,1.3804,1.3826,7114427.4
2026-02-27 12:00:00,1.3826,1.3853,1.3728,1.3776,6701199.5
2026-02-27 13:00:00,1.3775,1.3822,1.3631,1.3708,12797019.3
2026-02-27 14:00:00,1.3708,1.3741,1.3571,1.3591,12852825.7
2026-02-27 15:00:00,1.359,1.3665,1.3523,1.3573,27587276.2
2026-02-27 16:00:00,1.3573,1.3588,1.3486,1.3513,9575943.0
2026-02-27 17:00:00,1.3513,1.3599,1.3386,1.358,11168957.5
2026-02-27 18:00:00,1.3581,1.3643,1.3531,1.3575,5752129.5
2026-02-27 19:00:00,1.3574,1.3575,1.3465,1.351,3209065.2
2026-02-27 20:00:00,1.351,1.3564,1.3504,1.3526,4531830.0
2026-02-27 21:00:00,1.3526,1.3563,1.3477,1.3514,4783078.4
2026-02-27 22:00:00,1.3514,1.3557,1.3386,1.354,6271561.0
2026-02-27 23:00:00,1.354,1.3585,1.3513,1.3562,4515588.7
2026-02-28 00:00:00,1.3562,1.3634,1.3552,1.3626,3429861.6
2026-02-28 01:00:00,1.3626,1.3653,1.3569,1.3588,2402428.9
2026-02-28 02:00:00,1.3588,1.3632,1.3569,1.3616,1964641.7
2026-02-28 03:00:00,1.3615,1.3617,1.3528,1.355,2637831.7
2026-02-28 04:00:00,1.3551,1.3581,1.3495,1.3539,2787062.1
2026-02-28 05:00:00,1.354,1.3559,1.3468,1.3495,2884000.7
2026-02-28 06:00:00,1.3495,1.3514,1.2932,1.2967,29342613.9
2026-02-28 07:00:00,1.2966,1.3229,1.2902,1.3027,22683451.6
